replicate,A_rgb_only__auroc,A_rgb_only__pr_auc,A_rgb_only__f1_at_locked_threshold,A_rgb_only__false_match_rate_at_locked_90_recall_threshold,A_rgb_only__achieved_recall_at_locked_90_recall_threshold,B_rgb_2d__auroc,B_rgb_2d__pr_auc,B_rgb_2d__f1_at_locked_threshold,B_rgb_2d__false_match_rate_at_locked_90_recall_threshold,B_rgb_2d__achieved_recall_at_locked_90_recall_threshold,C_rgb_2d_3d__auroc,C_rgb_2d_3d__pr_auc,C_rgb_2d_3d__f1_at_locked_threshold,C_rgb_2d_3d__false_match_rate_at_locked_90_recall_threshold,C_rgb_2d_3d__achieved_recall_at_locked_90_recall_threshold,geometry_only__auroc,geometry_only__pr_auc,geometry_only__f1_at_locked_threshold,geometry_only__false_match_rate_at_locked_90_recall_threshold,geometry_only__achieved_recall_at_locked_90_recall_threshold
842,0.775596875,0.789855808932,0.714355231144,0.510416666667,0.85,0.834484375,0.830894270136,0.769368562472,0.3875,0.855,0.902673958333,0.905657363025,0.80463718334,0.296875,0.885,0.862870833333,0.859082212683,0.797747942832,0.392708333333,0.919
843,0.765981672394,0.807753657596,0.720686367969,0.540664375716,0.856,0.86587628866,0.858296999267,0.813987372511,0.248568155785,0.832,0.913710194731,0.922169237619,0.836827711942,0.214203894616,0.863,0.892577319588,0.895099051713,0.826392138512,0.277205040092,0.882
844,0.753194014448,0.759284879569,0.70272812794,0.56346749226,0.859,0.830818369453,0.807339269555,0.767025089606,0.384932920537,0.855,0.888518059856,0.891644059858,0.799481417459,0.308565531476,0.873,0.851616099071,0.841224024407,0.791630340017,0.384932920537,0.903
845,0.761776635514,0.757682748595,0.685990338164,0.532710280374,0.844,0.836820560748,0.832641673373,0.745587602238,0.426168224299,0.865,0.898010280374,0.896341066771,0.782755705833,0.3,0.881,0.861974766355,0.847839375317,0.783610755442,0.385046728972,0.912
846,0.732321603128,0.720937085952,0.68177613321,0.577712609971,0.857,0.827156402737,0.800561111974,0.755793226381,0.384164222874,0.848,0.878158357771,0.874305030686,0.790315607436,0.297165200391,0.856,0.854060606061,0.840335791819,0.787798408488,0.348973607038,0.884
847,0.734234140715,0.747413129888,0.708533077661,0.543252595156,0.861,0.796755478662,0.804513371618,0.760975609756,0.456747404844,0.853,0.867166089965,0.879712514274,0.80102915952,0.365628604383,0.871,0.83685467128,0.841762547847,0.799478033928,0.429065743945,0.913
848,0.718480990274,0.709717098487,0.652659812249,0.601237842617,0.842,0.802886825818,0.755337074991,0.734693877551,0.400530503979,0.84,0.869069849691,0.850254245984,0.76265560166,0.327144120248,0.856,0.844354553492,0.814937277345,0.762388818297,0.395225464191,0.896
849,0.710129094412,0.691156877589,0.671811166591,0.583815028902,0.86,0.800145472062,0.782971339721,0.735511982571,0.432562620424,0.839,0.867259152216,0.855427363598,0.780936454849,0.342967244701,0.874,0.850157996146,0.835217672488,0.787982832618,0.386319845857,0.912
850,0.826448548813,0.885166106702,0.752992383025,0.390501319261,0.828,0.823973614776,0.860329215945,0.790528233151,0.4327176781,0.864,0.912606860158,0.936552468358,0.835847382431,0.300791556728,0.876,0.861978891821,0.883139794492,0.826548672566,0.422163588391,0.93
851,0.775826923077,0.782172232247,0.71456123433,0.531376518219,0.858,0.844873481781,0.850036722586,0.762327854287,0.396761133603,0.856,0.908449392713,0.911466414071,0.802756244617,0.285425101215,0.892,0.869267206478,0.862006884736,0.796529284165,0.378542510121,0.914
852,0.774118006104,0.784669969148,0.709206039942,0.509664292981,0.844,0.835575788403,0.830741002656,0.766321476812,0.374364191251,0.847,0.906512716175,0.906827329157,0.805519620526,0.276703967447,0.88,0.870370295015,0.865917155145,0.798777826277,0.370295015259,0.913
853,0.759091659028,0.776152615586,0.676699029126,0.526122823098,0.821,0.858417048579,0.838142204489,0.770350159163,0.318973418882,0.844,0.92445096242,0.919457970496,0.810412147505,0.231897341888,0.889,0.899327222731,0.884164040414,0.815627743635,0.307057745188,0.926
854,0.768771047228,0.783185563114,0.70794734276,0.515400410678,0.846,0.844592402464,0.845879940666,0.770477047705,0.373716632444,0.852,0.912433264887,0.91362506908,0.812419146184,0.280287474333,0.897,0.87998973306,0.873063240189,0.812527185733,0.363449691992,0.931
855,0.782017667845,0.837803638267,0.720040795512,0.489988221437,0.825,0.860342756184,0.861111117078,0.805555555556,0.287396937574,0.837,0.928510011779,0.941194174094,0.847736625514,0.208480565371,0.869,0.902718492344,0.906106458711,0.842105263158,0.286219081272,0.908
856,0.742604796663,0.772150035155,0.68906767629,0.55370177268,0.837,0.816863399374,0.80345459474,0.76803652968,0.360792492179,0.832,0.889310740355,0.889724717972,0.799827064419,0.29197080292,0.86,0.866221063608,0.85974491873,0.795063904804,0.371220020855,0.9
857,0.715015690377,0.729031724297,0.669527896996,0.576359832636,0.828,0.819656903766,0.799837796637,0.763703362506,0.35460251046,0.826,0.885924686192,0.886885198408,0.809629959875,0.261506276151,0.838,0.881347280335,0.876047731329,0.812814645309,0.297071129707,0.879
858,0.738568306011,0.750017634191,0.695151224196,0.556284153005,0.844,0.795444808743,0.791783616353,0.752572706935,0.429508196721,0.837,0.868947540984,0.877307246035,0.792847797645,0.314754098361,0.836,0.84308852459,0.845322307039,0.782918149466,0.389071038251,0.873
859,0.758244493392,0.781891123306,0.701860231272,0.507709251101,0.821,0.841544052863,0.831147772406,0.781425891182,0.325991189427,0.831,0.918144273128,0.92238803305,0.837752808989,0.23127753304,0.87,0.899113436123,0.898507190127,0.837420526794,0.295154185022,0.916
