dataset,stratum_variable,stratum_level,system,pairs,positives,negatives,auroc,pr_auc,false_match_rate,recall,threshold_source
movi_e,dynamic_status,dynamic-dynamic,A_rgb,167,140,27,0.9021164021164022,0.9820579590047039,0.0,0.6071428571428571,development_locked_90_recall
movi_e,dynamic_status,dynamic-dynamic,B_rgb_2d,167,140,27,0.9407407407407407,0.9883077758269102,0.0,0.4928571428571429,development_locked_90_recall
movi_e,dynamic_status,dynamic-dynamic,C_camera_geometry,167,140,27,0.9706349206349206,0.9944270516261476,0.0,0.5642857142857143,development_locked_90_recall
movi_e,dynamic_status,dynamic-dynamic,D_pose_aligned_geometry,167,140,27,0.9801587301587302,0.9962539844970546,0.0,0.6142857142857143,development_locked_90_recall
movi_e,dynamic_status,dynamic-dynamic,G_camera_geometry_only,167,140,27,0.9425925925925925,0.9885818663196189,0.0,0.5857142857142857,development_locked_90_recall
movi_e,dynamic_status,dynamic-dynamic,G_pose_aligned_geometry_only,167,140,27,0.9719576719576719,0.9944447706473856,0.0,0.65,development_locked_90_recall
movi_e,dynamic_status,dynamic-dynamic,P_pose_only,167,140,27,0.43253968253968256,0.8521207228707117,0.9259259259259259,0.8857142857142857,development_locked_90_recall
movi_e,dynamic_status,dynamic-dynamic,S_shuffled_pose,167,140,27,0.9555555555555555,0.9908929680815052,0.0,0.5428571428571428,development_locked_90_recall
movi_e,dynamic_status,dynamic-static,A_rgb,307,0,307,,,0.15309446254071662,,development_locked_90_recall
movi_e,dynamic_status,dynamic-static,B_rgb_2d,307,0,307,,,0.06188925081433225,,development_locked_90_recall
movi_e,dynamic_status,dynamic-static,C_camera_geometry,307,0,307,,,0.016286644951140065,,development_locked_90_recall
movi_e,dynamic_status,dynamic-static,D_pose_aligned_geometry,307,0,307,,,0.009771986970684038,,development_locked_90_recall
movi_e,dynamic_status,dynamic-static,G_camera_geometry_only,307,0,307,,,0.02280130293159609,,development_locked_90_recall
movi_e,dynamic_status,dynamic-static,G_pose_aligned_geometry_only,307,0,307,,,0.019543973941368076,,development_locked_90_recall
movi_e,dynamic_status,dynamic-static,P_pose_only,307,0,307,,,0.9087947882736156,,development_locked_90_recall
